OBS,VNM_CAN_0,VNM_CANOTH_0,VNM_CANRATIO_0,VNM_CLIMLOSS_0,VNM_CMUD_0,VNM_CO2_0,VNM_COALC_0,VNM_CTAX_0,VNM_CTAXR_0,VNM_CXS_0,VNM_CXUD_0,VNM_DEP_0,VNM_EC_0,VNM_EFEX_0,VNM_EFF_0,VNM_ENAB_0,VNM_EXP_0,VNM_EXPE_0,VNM_EXPEB_0,VNM_EXPH_0,VNM_EXPHB_0,VNM_EXPSP_0,VNM_EXPSPB_0,VNM_EXR_0,VNM_FINC_0,VNM_FUELSH_0,VNM_GASC_0,VNM_GCARB_0,VNM_GCARBB_0,VNM_GCARBR_0,VNM_GCARBRB_0,VNM_GCOM_0,VNM_GCR_0,VNM_GDFXSH_0,VNM_GDI_0,VNM_GDN_0,VNM_GDNRATIO_0,VNM_GINI_DISP_0,VNM_GINT_0,VNM_GIP_0,VNM_GLN_0,VNM_GLNRATIO_0,VNM_GLNT_0,VNM_GOTH_0,VNM_GTRADE_0,VNM_GTRADER_0,VNM_HEAD19_0,VNM_HEAD55_0,VNM_HIC_0,VNM_IGR_0,VNM_INFT_0,VNM_INT_0,VNM_IPR_0,VNM_ITAX_0,VNM_ITAXR_0,VNM_ITR_0,VNM_K_0,VNM_KSTAR_0,VNM_LABSH_0,VNM_LFN_0,VNM_LIVES_0,VNM_LNN_0,VNM_LNNF_0,VNM_LOCK_0,VNM_LRX_0,VNM_LTI_0,VNM_MTD_0,VNM_MTN$_0,VNM_MTN_0,VNM_MTR$_0,VNM_MTR_0,VNM_OGC_0,VNM_OGI_0,VNM_OILC_0,VNM_OMS_0,VNM_OXS_0,VNM_PC_0,VNM_PCR_0,VNM_PE_0,VNM_PG_0,VNM_PM25_0,VNM_POIL_0,VNM_POPT_0,VNM_POPWA_0,VNM_PR_0,VNM_PREM_0,VNM_PROF_0,VNM_RC_0,VNM_REFEX_0,VNM_REL_RED_0,VNM_REMIT_0,VNM_REV_0,VNM_REVG_0,VNM_RPDI_0,VNM_SCR_0,VNM_SDLI_0,VNM_SHAREE_0,VNM_SHAREH_0,VNM_SHARESP_0,VNM_SHAREX_0,VNM_SOLV_0,VNM_TAX_0,VNM_TAXR_0,VNM_TECHL_0,VNM_TFP_0,VNM_TOURSH_0,VNM_URX_0,VNM_URXF_0,VNM_USER_0,VNM_WDR_0,VNM_XTD$_0,VNM_XTDNO$_0,VNM_XTN$_0,VNM_XTN_0,VNM_XTR$_0,VNM_XTR_0,VNM_YBAR_0,VNM_YED_0,VNM_YEN$_0,VNM_YEN_0,VNM_YER$_0,VNM_YER_0,VNM_YFT$_0,VNM_YFT_0,WLD_CO2_0,WLD_COALC_0,WLD_DD$_0,WLD_EC_0,WLD_GASC_0,WLD_HIC_0,WLD_LOCK_0,WLD_MTN$_0,WLD_MTR$_0,WLD_OILC_0,WLD_PC_0,WLD_PE_0,WLD_PG_0,WLD_POIL_0,WLD_POPT_0,WLD_POPWA_0,WLD_PR_0,WLD_RC_0,WLD_TECHL_0,WLD_XTN$_0,WLD_XTR$_0,WLD_YEN$_0,WLD_YER$_0,WLD_YFT$_0,USA_INFT_0,USA_INT_0
2000,0.8500000000,0.2777953993,2.7267511763,12476.3240589594,0.7939799559,52.3321000000,0.1963300541,22240.0000000000,,0.4807478588,0.7383420679,0.0074085271,0.7547476841,1.5933751873,0.4614243282,0.6500000000,99751.0000000000,1050.1315129453,1050.1315129453,8124.9047363405,8124.9047363405,16579.8800046155,16579.8800046155,14167.7500000000,21.3694934845,0.0176047898,0.0555840000,,,,,4837.0214960627,87006.2183594371,0.5120000000,1557203.0539831100,138816.7104375000,31.4316693545,33.8000000000,2.5313955279,3514.0000000000,-9002.0000000000,-2.0382840556,-2.0382840556,,13437.0000000000,0.0552851483,34.7600000000,89.0000000000,0.3301881189,57741.1694366750,5.0000000000,6.0000000000,244441.6584252950,29809.0000000000,0.0808906214,302182.8278619700,2879935.6203300100,2845487.0795621900,0.4961747737,41917.6498874565,0.5920000000,40970.3110000000,19810.0580000000,0.0000000000,0.8459668005,10.5500000000,0.3749981456,17.9228882497,253927.0000000000,31.2081994955,677142.0151063720,42366.0810893467,28116.0026567520,0.3573236300,0.1251472896,0.2275703712,1.4669881364,1116060.6424938100,3.2218910578,3.9106285194,36.2388454276,4.0789779581,79910.4110000000,49549.9940000000,,397.8290943030,,0.1455100000,,15.2882205514,18984.8517320000,90749.0000000000,2028.0000000000,699025.2148250060,90308.1897681248,0.6182284671,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1831.0000000000,0.0077523293,3.3766082583,0.0055923307,0.0282106529,2.2600000000,2.1400000000,,367.1979097318,0.5231007398,0.5180555175,17.1550881403,243049.0000000000,32.7949988090,711571.7003207160,4.3980614525,0.2709505335,31.1726279755,441646.0000000000,75.1230553240,1629987.5636976900,75.9250929460,1647389.8291387000,24338.3724000000,,47719.9030293021,,,0.5584158440,0.0000000000,7939.2643727736,10581.0636899618,,31.7594444444,,4.7232507496,28.3075000000,6143493.8060000000,3869966.1990000000,,,15.2969544984,7975.9209089804,11018.2986117325,33636.7938973623,48157.1379510728,47483.8248671998,2.0000000000,5.9958333333
2001,0.9200000000,0.5657980077,2.8147297049,13336.5663354300,0.7552060871,59.5292000000,0.2145571397,25805.0000000000,,0.4635911067,0.7154200605,0.0112923993,0.8523394061,1.6136262598,0.4768051391,0.6500000000,117285.0000000000,1227.0822575111,1227.0822575111,8131.0199858769,8131.0199858769,18202.5684631291,18202.5684631291,14725.1666666667,21.3694934845,0.0174703389,0.0694800000,,,,,5537.3446449323,92752.5868507005,0.5120000000,1667796.6130569400,155345.7360000000,32.2766153814,33.9000000000,2.8871085332,4485.0000000000,-13397.0000000000,-2.7835319295,-2.7835319295,,17458.0000000000,0.0664191199,35.8800000000,89.0000000000,0.3291643381,75567.8892226575,5.0000000000,4.8000000000,259005.9587355260,33972.0000000000,0.0885161488,334573.8479581840,3181988.0852529900,3168054.6479340500,0.4883122665,42977.9627725216,0.3920000000,41791.7710000000,20065.3080000000,0.0000000000,0.8465590324,9.4200000000,0.3812156894,18.5959185521,273828.0000000000,33.1051865926,718302.0206933340,46970.9240243804,38268.4052691025,0.3873847340,0.1116284843,0.1956540218,1.7041840508,1165965.8429149400,2.9714534766,3.8397652389,36.5409949326,3.5176066503,80742.5000000000,50767.8273192374,,397.8290943030,,0.1809175325,0.7853300175,15.2500000000,16197.6833700000,103888.0000000000,2011.0000000000,752890.2613701220,112559.4624476550,0.6201792257,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2058.0000000000,0.0082138367,3.3817253865,0.0024987565,0.0279952031,2.7600000000,3.2700000000,,377.2684271476,0.5131043136,0.5245922533,17.8501205419,262846.0000000000,34.7884827091,754825.4518023380,4.6189178296,0.2762292576,32.6851988093,481295.0000000000,80.3027883785,1742375.1712804800,81.2265588531,1762418.7435082600,24555.2741000000,,48860.5620813505,,,0.5838582374,0.0000000000,7735.7436673262,10740.8979342656,,36.8945987654,,4.6376621950,24.4116666667,6222626.5310000000,3939797.6220707100,,,15.3123954554,7725.3419539514,11045.2673114693,33464.8086886412,49164.9314585543,49036.0451733226,2.0000000000,3.4691666667
2002,-0.6268008397,-0.5849614470,-1.7875854260,14280.7712091779,0.7453868437,68.6613000000,0.2450123491,29271.0000000000,,0.4383765611,0.7234877969,0.0138772762,0.9334929950,1.5504827285,0.4921859501,0.6500000000,134334.0000000000,1438.4318472513,1438.4318472513,9873.2402464272,9873.2402464272,18201.3579925793,18201.3579925793,15279.5000000000,21.3694934845,0.0181671631,0.0833760000,,,,,6487.5966502636,97740.7208273508,0.5120000000,1738057.9552618400,188511.8669502080,35.1857479534,34.1000000000,2.8274082084,5330.0000000000,-12618.0000000000,-2.3551502346,-2.3551502346,,21915.0000000000,0.0720267401,37.0000000000,89.0000000000,0.3425901245,89343.5355130017,5.0000000000,4.8000000000,288269.5918794390,41731.0000000000,0.0970678530,377613.1273924410,3515443.8849645200,3517323.8712628300,0.4757740961,43918.5615038823,0.1470000000,42987.4880000000,20694.1160000000,0.0000000000,0.8450018990,9.0616666667,0.4135680552,21.7249255538,331946.0000000000,36.9921357355,802639.3620893770,51978.2867110447,47512.6832026974,0.4254727750,0.0998321622,0.1794279825,1.4045025046,1254898.2927520700,2.8808130011,3.5381749695,36.8431444375,3.6021425649,81534.4060000000,51974.5121943979,,397.8290943030,,0.1796318710,0.7717282178,15.1741293532,27044.7150000000,121716.0000000000,2250.0000000000,835388.7124301960,97615.0886197529,0.6240842905,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2338.0000000000,0.0083799373,3.3962517512,0.0069112680,0.0291118234,2.1200000000,2.3300000000,,408.7488303557,0.5140550941,0.5221417358,19.9130861612,304262.0000000000,38.7372606358,840504.3274110600,4.8606929789,0.2871591118,35.0641055008,535762.0000000000,85.9880811484,1865732.1949133000,87.0891617155,1889622.9648412300,25116.1610000000,103.5093926020,49889.4946392760,407.2993852186,90.0555505038,0.6050609421,0.0000000000,8050.2886608159,11052.6650814107,156.9572170459,30.4066666667,3.4720632133,4.2734019593,24.9983333333,6301773.1719999900,4010146.1559431300,,56.7772250670,15.3280915847,8120.5556861655,11447.7405647156,34797.7646365636,50284.5701225810,50697.6817409978,2.0000000000,1.6333333333
2003,-1.9310000000,-0.7241413328,-4.8821170698,15329.1504852940,0.7884976592,76.2770000000,0.2852539269,47410.0000000000,,0.4115301590,0.7948250579,0.0177485630,1.0076321705,1.4644188464,0.5075667610,0.6500000000,172885.6000000000,2191.5127424237,2191.5127424237,12043.3021037641,12043.3021037641,22018.2114851147,22018.2114851147,15509.5833333333,21.3694934845,0.0189680281,0.0824380200,,,,,8152.7763057804,104769.8885917690,0.5120000000,1811055.5704890200,232387.3806625880,37.8824732962,34.1000000000,2.7518705972,6395.0000000000,-19928.6000000000,-3.2486473886,-3.2486473886,,22373.5000000000,0.0615104403,31.4000000000,86.6000000000,0.3539047315,114446.9248560760,5.0000000000,5.0000000000,308109.7046484860,51699.5000000000,0.1077761534,422556.6295045620,3875606.4371866200,3894935.7088473700,0.4695218492,44788.0491048593,0.1280000000,43780.3180000000,21026.2570000000,0.0000000000,0.8422126064,9.4800000000,0.4602405414,26.7591327942,415023.0000000000,41.5600676097,901752.3722659950,62244.2041243248,67993.3695443726,0.4537313774,0.0967896914,0.1738028938,1.6873059446,1355430.6273505700,3.2781209488,3.9486550023,37.1452939424,4.1564131433,82301.6500000000,53179.0295739706,,397.8290943030,,0.1862088462,0.7350785645,15.3846153846,32570.1249300000,152957.0000000000,2969.0000000000,876525.2565369870,79714.9675721304,0.6240842905,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2951.0000000000,0.0096788758,3.4080930259,0.0055597372,0.0303951631,2.2500000000,2.6400000000,,460.8263418096,0.5401999767,0.5380371922,23.4522741316,363735.0000000000,43.4140598763,941979.4946148160,5.1277417248,0.3063081012,39.5525132311,613443.0000000000,92.3006339475,2002699.2353678500,93.0421076169,2018787.4103606700,26346.3406000000,112.6118898185,51525.8220356736,421.6673782428,92.5608193025,0.6284847585,0.0000000000,9336.5884040223,11753.2333643229,160.4511864247,36.5291975309,3.9674378398,4.7691790736,28.8448886615,6381185.1410000000,4081172.7286111500,,56.0434826971,15.3440590225,9419.0486952232,12083.8317011374,39044.0510445548,51856.4203724882,52419.2895780276,2.0000000000,1.0300000000
2004,-1.5910000000,-0.6783382010,-3.2145084674,16484.4182091696,0.8412718699,87.8002000000,0.3738382018,56987.0000000000,,0.4193377365,0.8622074393,0.0214112647,1.2327268106,1.3998364537,0.5229475720,0.6500000000,192373.0000000000,2024.7783509194,2024.7783509194,15434.9055001021,15434.9055001021,26220.7792112377,26220.7792112377,15746.0000000000,21.3694934845,0.0193011354,0.1445184000,,,,,10174.7677683241,113436.8528439650,0.5120000000,1968582.3946440100,290556.4513158720,37.2824693927,34.3000000000,2.4838546752,7217.0000000000,-1480.7327319640,-0.1899987851,-0.1899987851,,21614.0000000000,0.0459661092,25.8000000000,84.2000000000,0.3818451582,100525.1758712980,5.0000000000,5.0000000000,366151.7160422280,68985.0000000000,0.1256174240,466676.8919135260,4259301.6937374000,4302512.3201235400,0.4560898741,45667.4248927039,0.1890000000,44690.1420000000,21468.3940000000,0.0000000000,0.8395841795,9.7225000000,0.5337628818,33.2920106694,524216.0000000000,45.2637836961,982114.0020522050,75006.4848468255,66469.0520909153,0.5407298266,0.1113023202,0.1961866646,3.3449700628,1438194.0812863600,4.5824896712,4.2904787084,37.4474434474,5.5161039041,83062.8190000000,54392.9078331605,,397.8290943030,,0.1736403822,0.7353936805,15.0990099010,39629.2273134193,190892.2672680360,2877.0000000000,927797.6036876590,86676.8091052793,0.6279941195,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3521.0000000000,0.0104656576,3.4030219654,-0.0023128593,0.0309289481,2.1400000000,2.4400000000,,531.4235069329,0.6286089293,0.6037256405,29.8625682713,470216.0000000000,47.5057971345,1030760.2399680500,5.4187746586,0.3618716697,49.4943477709,779338.0000000000,99.2567887191,2153630.8730649700,99.1848591305,2152070.1759612400,27569.0776000000,120.4823036615,53875.8630853530,442.5780498635,96.1457674051,0.6521838328,0.0000000000,11256.1798132075,13074.4660918202,166.5475776423,72.4166666667,5.4780765018,5.1820331886,38.2809401939,6461159.3910000000,4153070.7702267100,,59.4024011546,15.3602050481,11406.9390359565,13379.8827462137,43951.9561373506,54181.2797397465,54206.3887556585,2.0000000000,1.3950000000
2005,-0.5601890000,-1.7991704467,-0.9719891629,17728.5380878080,0.8773388690,94.8591000000,0.3914650076,75847.0000000000,0.1702304628,0.4399591088,0.8984251884,0.0219682411,1.3049201670,1.3627493462,0.5383283829,0.6500000000,239364.0000000000,3655.3287868794,3655.3287868794,22577.1323014195,22577.1323014195,36066.2224685864,36066.2224685864,15858.9166666667,21.3694934845,0.0203773348,0.2237256000,,,,,12168.2330298680,122743.3863190070,0.5120000000,2169054.7313536600,332713.2566355120,36.4018482076,34.4000000000,1.9900018613,6621.0000000000,-11071.6551910420,-1.2113395052,-1.2113395052,,23660.0000000000,0.0406379691,22.3000000000,82.0500000000,0.4138990550,117291.1674332430,5.0000000000,5.0000000000,394890.8761095130,82830.3200000000,0.1314745234,512182.0435427560,4677914.3706816800,4741482.5718106200,0.4539925991,46599.4799223460,0.3080000000,45606.9110000000,21920.5800000000,0.0000000000,0.8377317875,11.0250000000,0.5592921424,38.6231185600,612520.8186500000,50.4743910751,1095171.5073727100,87157.9206077542,83286.3958353605,0.5291279771,0.1299948435,0.2093708596,2.8564273696,1522135.4454035600,5.5829795372,5.0072170524,37.7495929523,7.8436095249,83832.6620000000,55625.7750000000,,360.8137906533,445554.8011515000,0.1606015823,0.7544559953,14.8514851485,49955.5876050000,228292.3448089580,3789.0000000000,1111120.3308875200,83915.9398902745,0.6299508337,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4234.0000000000,0.0097368280,3.4126572648,0.0043743546,0.0326534951,2.1300000000,2.2900000000,9.9085634541,587.4207449730,0.6806107328,0.5857517723,36.7121000001,582214.1345600000,53.9399369262,1170365.4224023500,5.7267305417,0.3946172828,57.6332557394,914001.0000000000,106.7479444498,2316170.7301852500,105.6939013381,2293300.5586219500,28472.6764000000,129.4095053093,56248.5520723854,456.6763821200,98.7775376959,0.6784191765,0.0000000000,12764.0655447496,14250.8692228631,168.0411626752,61.8400000000,6.5559310631,6.0477085918,54.4334828251,6541906.9560000000,4225982.0230000000,,60.4481764395,15.3763088619,12975.5761970983,14383.5723620225,47623.1512214475,56381.2552115447,56059.2084246837,2.0000000000,3.2133333333
2006,-0.1637418000,-2.0335109114,-0.2467043737,18965.6274643739,0.9071153290,99.1304000000,0.2398145843,99796.0000000000,0.1928466443,0.4299489377,0.9352707929,0.0258551585,1.1926667419,1.3276066050,0.5537091938,0.6500000000,276774.0000000000,5533.0530165674,5533.0530165674,25029.9852416972,25029.9852416972,41587.1995818659,41587.1995818659,15994.2500000000,21.3694934845,0.0216946938,0.2431800000,,,,,14896.4000346712,133173.1723471590,0.5120000000,2334482.0715481300,407714.0137057750,38.4068816988,34.4000000000,1.9535752347,7965.0000000000,2702.4108132970,0.2545685675,0.2545685675,,26280.0000000000,0.0365036718,18.8000000000,79.9000000000,0.4449534745,119091.6495973370,5.0000000000,6.5000000000,443808.1147231480,98963.0000000000,0.1359673873,562899.7643204850,5119865.9173351200,5212843.2243639800,0.4499585121,47441.4185049020,0.5790000000,46454.6370000000,22344.3810000000,0.0000000000,0.8360622134,11.1762500000,0.5952753182,46.9418804902,750800.1720300000,58.1293463598,1261265.4163727500,103818.1662620310,92840.5958978389,0.5193747992,0.1293603871,0.1957139709,2.6085507033,1635774.7396701400,6.9390922176,5.9101821713,38.0727537594,9.4204166100,84617.5450000000,56743.8854988871,,318.1038249036,517488.9113736110,0.1902973585,0.7681630757,14.8514851485,60778.1500000000,279476.4108132970,7897.0000000000,1229602.2618370600,70526.1592004139,0.6299508337,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5179.0000000000,0.0099425392,3.4451148045,0.0146045463,0.0347644864,2.0800000000,2.0900000000,10.8551439342,657.5781472769,0.7306465518,0.6048388505,45.0116496016,719927.5766400000,61.6052309982,1336683.6579370400,6.0238167126,0.4284318324,66.3716648170,1061565.0000000000,114.1967677760,2477792.0771024900,112.6767392189,2444811.1548821700,29384.0019000000,136.2411266782,58830.8428373184,469.7725865414,101.3842062224,0.7056745546,0.0000000000,14593.7684664210,15637.8501680856,169.8540833044,56.4736135802,7.4031795245,7.1383083902,65.3762893375,6623517.9170000000,4290047.0278467200,,62.2931703364,15.3921283251,14942.1388964926,15740.6396338546,51612.2449477433,58933.6323030874,57969.4356025175,2.0000000000,4.8483333333
2007,-6.9920000000,-2.6671560401,-9.0319083968,20317.7827248582,0.9637495582,100.5773000000,0.2625133735,104551.6000000000,0.1720244711,0.3962663120,1.0142698696,0.0237522703,1.3027244491,1.2684321391,0.5690900048,0.6500000000,352967.0789270000,6279.7014255374,6279.7014255374,30886.7915288140,30886.7915288140,53538.0763145455,53538.0763145455,16105.1250000000,21.3694934845,0.0227432481,0.2459592000,,,,,17346.3971360464,145030.6983260840,0.5120000000,2444711.8695994200,509893.1317824770,40.8971615257,34.5000000000,2.4828732161,12660.0000000000,-27525.4419649920,-2.2077419285,-2.2077419285,,38324.0000000000,0.0432358155,16.4500000000,78.8500000000,0.4821020361,145051.1729398380,5.0000000000,6.5000000000,553829.3251527340,108647.2000000000,0.1254973011,698880.4980925720,5697137.9760131900,5716955.3562277500,0.4525492434,48340.4736143717,0.3260000000,47359.1620000000,22782.6050000000,0.0000000000,0.8351165171,11.1800000000,0.6557714836,65.5428988648,1055576.5790800000,74.1867200071,1609671.3649567900,124792.4460831710,124810.0635749320,0.5789426255,0.1199967195,0.1646437349,3.9061089992,1795747.1532601500,7.9703051171,6.4001660431,38.3959145664,10.4802187422,85419.5880000000,57884.7054582300,,318.1038249036,607771.6696993260,0.2153092500,0.7688855088,14.8148148148,99529.6725000000,325441.6369620080,6012.0000000000,1358234.4696550300,136791.6493524270,0.6319087545,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7415.0000000000,0.0119022877,3.4329407649,-0.0055093524,0.0364447337,2.0300000000,1.9300000000,10.3327051775,724.8931974392,0.8027275708,0.6873709878,55.0380549049,886394.7540000000,68.5638028442,1487667.7402683600,6.3434895392,0.4696907845,77.4144255322,1246769.0000000000,122.3384314552,2654446.3743427900,119.7897819062,2599146.8787192200,30245.0970000000,144.1704355783,61597.1956623077,484.5694461262,105.5146399299,0.7358909264,0.0000000000,16925.2444682044,16941.1180866039,172.1365434102,84.5650000000,8.6209999274,7.7301101117,72.7311584165,6705946.6430000000,4354922.6825100600,,62.7478272078,15.4074622170,17364.7743104515,16865.2882124804,58186.6202569846,61521.3657881843,59786.5902401877,2.0000000000,4.4716666667
2008,-10.7870000000,-4.0665660789,-10.8816371523,21468.1290972832,1.0290524217,113.2445000000,0.4977413016,137239.0000000000,0.1742084034,0.4039577299,1.0959382586,0.0281492836,1.6179919795,1.2261985244,0.5844708157,0.6500000000,438703.0000000000,5597.4822584772,5597.4822584772,39900.2019359671,39900.2019359671,67631.2018910727,67631.2018910727,16302.2500000000,21.3694934845,0.0228769298,0.2605152600,,,,,22894.2173555510,155938.3401744940,0.5120000000,2616909.1351834900,637028.1220282510,39.4189105904,34.6000000000,2.6262576834,16730.0000000000,-9176.8272323030,-0.5678564567,-0.5678564567,,60736.0000000000,0.0525539987,14.1000000000,77.8000000000,0.5935420832,152311.7419581120,5.0000000000,10.2500000000,573397.1378626060,139976.0000000000,0.1219743653,725708.8798207180,6262476.5032875500,6253250.2727757300,0.4551305385,49294.0845213849,0.4110000000,48406.7910000000,23276.9990000000,0.0000000000,0.8347604834,15.7835714286,0.7944261208,84.4167226266,1376182.5164400000,79.8383352415,1732297.6679898800,156238.8504920770,152605.2634224060,0.6122678962,0.1336666030,0.1611696121,6.8389048452,1933452.4480855000,10.7394166955,10.3893621181,38.7190753735,14.0592713165,86243.4240000000,59051.7705381656,,318.1038249036,787786.3369257560,0.2474675217,0.8689145781,14.5679012346,110936.8112500000,429526.1727676970,9413.0000000000,1420623.3342217000,158863.0634481780,0.6338678873,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,12940.0000000000,0.0177522237,3.4205985395,-0.0056173237,0.0366589509,1.8000000000,1.6400000000,16.4672295579,752.8291536317,0.9840688711,0.8153809715,70.8912887055,1155687.5113000000,72.0389505118,1563069.9913587600,6.5994870141,0.5761852611,99.1303040991,1616047.0000000000,129.2649535437,2804735.0548977800,127.4009094332,2764289.8319880000,30882.5148000000,146.0626711933,62806.2382793945,489.8212567827,108.0499537667,0.7822533697,0.0000000000,19388.2474990169,17423.0620599208,170.3787573769,148.0583333333,12.8426605685,12.5482546268,97.5692506509,6789088.6720000000,4420545.1714301100,,65.3298744458,15.4222786265,19848.0321602373,17385.2786309157,63809.4220389771,62768.4548503894,61628.5012148021,2.0000000000,1.3916666667
2009,-6.6080000000,-1.6373228948,-6.2331002403,22626.9567103034,0.9629746037,122.8329000000,0.4670369683,112164.3000000000,0.1271820605,0.3685791439,1.0163914698,0.0294953865,1.6467099600,1.2138113548,0.5998516267,0.6500000000,573700.0900000000,8330.5968218120,8330.5968218120,55112.2365077760,55112.2365077760,97483.0076659485,97483.0076659485,17065.0833333333,21.3694934845,0.0201445388,0.2782674000,,,,,24672.0058458164,167785.6680109130,0.5120000000,2779159.3972013000,834964.8959300000,46.1523564908,34.8000000000,2.4540061624,20490.0900000000,-110820.2247100720,-6.1255443698,-6.1255443698,,76981.0000000000,0.0675714426,9.0500000000,62.3000000000,0.6334102022,227989.8740341650,5.0000000000,8.0000000000,561039.6031601510,157369.6000000000,0.1256696003,789029.4771943160,6866791.8153504600,6820961.1055796100,0.4663662447,50214.5410136373,0.3560000000,49340.8080000000,23704.3630000000,0.0000000000,0.8334674377,10.0690000000,0.7180690598,77.7500031774,1326810.2833900000,85.1591987389,1847747.4628831300,166305.5259265270,225978.6330779360,0.6175943695,0.0904442286,0.1138894547,3.6401280655,1976994.9180031400,6.8181731216,7.4997105567,39.0422361805,8.9143950788,87092.2500000000,60247.7538351641,,318.1038249036,881919.1914980780,0.2838112222,0.9066976725,14.0740740741,102731.8014660000,462879.8652899280,7908.0000000000,1563548.1619743200,133468.3889596490,0.6377898097,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,14318.0000000000,0.0150075936,3.4361746708,0.0072641819,0.0322804530,1.7400000000,1.5700000000,9.1869544506,708.7763678364,0.8341093659,0.7895713686,66.7593260840,1139253.4629000000,80.0366580365,1736600.7902223400,6.8497293316,0.6119987656,106.0146595631,1809149.0000000000,136.2425432946,2956131.7795072200,135.5490739240,2941085.1810294500,30445.9827000000,144.0328655603,61810.8344520172,482.7496305732,105.8535416058,0.8037365944,0.0000000000,15554.6667253744,15550.3271148918,167.0656558204,78.8066666667,8.0557806467,9.0581381824,61.8645752165,6872766.9880000000,4486802.5973145800,,65.7975675868,15.4368301819,15963.2248896009,15710.4140790000,60535.3164046374,61970.9214161255,63490.9279714288,2.0000000000,0.1508333333
